Well ,  Sample ID ,  Date , R1.Percent.UL Percent for R1  (%) , R1.Percent.UR Percent for R1  (%) , R1.Percent.LL Percent for R1  (%) , R1.Percent.LR Percent for R1  (%) , 1287_GrFS.Concentration Concentration for 1287_GrFS  (cells/mL) , 1977_GrFS.Concentration Concentration for 1977_GrFS  (cells/mL) , 12871977_GrFS.Concentration Concentration for 12871977_GrFS  (cells/mL) , 1287_GrSS.Concentration Concentration for 1287_GrSS  (cells/mL) , 1977_GrSS.Concentration Concentration for 1977_GrSS  (cells/mL) , 12871977_GrSS.Concentration Concentration for 12871977_GrSS  (cells/mL) , 12871977_FSSS.Concentration Concentration for 12871977_FSSS  (cells/mL) , 12871977_GrAW.Concentration Concentration for 12871977_GrAW  (cells/mL) ,
Tube07, filtrate, 03.24.2023, 0.33674568965517243, 0.12721503831417624, 96.19402538314176, 3.342013888888889, 86084.57942650169, 107053.04118564179, 91376.93878423992, 21839.35633699576, 56072.212435783586, 72485.22563383255, 107722.9600916846, 173575.98855569327,
Tube08, filtrate, 03.24.2023, 0.09046542078324009, 0.04761337935960005, 99.47863349601238, 0.3832877038447804, 3028.138270558865, 4999.284880639635, 3656.619798410705, 1428.3671087541816, 2856.734217508363, 5342.092986740639, 10969.859395232115, 12969.573347487969,
A01, 1287 _100, 03.24.2023, 0.018556318426424197, 34.94154759695677, 2.8762293560957506, 62.163666728521065, 1757621.627852692, 1634075.7619296166, 1722374.7190452262, 1735819.4162192082, 1792868.5366601576, 1856094.9503972607, 1741269.9691275791, 1082116.4374085832,
A02, 1977 _100, 03.24.2023, 0.13404825737265416, 16.437667560321717, 12.265415549597856, 71.16286863270777, 2156688.8409418603, 2173965.387064225, 2145651.047585905, 1833713.409265431, 2212837.6158395456, 2388002.597357965, 2196520.87783509, 2119736.228402358,
A03, MIX _100, 03.24.2023, 0.07167174341515857, 26.876903780684465, 8.439347787134922, 64.61207668876546, 2304888.4854070125, 2245573.31958054, 2274736.6094452227, 2239147.509949339, 2398309.871583707, 2506065.7561684656, 2343443.3431942197, 1771546.2860173136,
A04, 1287 _500, 03.24.2023, 0, 24.22305096785651, 5.611791866453561, 70.16515716568993, 2279646.287857931, 2158077.7177323946, 2222631.570861071, 2225929.9429187407, 2369173.529423249, 2436083.3625931176, 2214621.2387210163, 1708556.725872852,
A05, 1977 _500, 03.24.2023, 0.053475935828877004, 8.502673796791443, 4.688057040998218, 86.75579322638146, 1971566.2070239973, 1965757.7207238425, 1955800.3156378625, 1594844.3812710955, 2018448.9893038187, 2107235.8513204716, 1926757.8841370882, 1959949.2344236874,
A06, MIX _500, 03.24.2023, 0.0508560773012375, 17.562298694694015, 8.696389218511612, 73.69045600949313, 2181283.1253561056, 2098543.2060005763, 2132286.3016036693, 2107787.889727451, 2319028.91288654, 2421644.90225485, 2136908.643467107, 1889151.1195868624,
A07, 1287 _1000, 03.24.2023, 0, 5.905511811023622, 3.772965879265092, 90.32152230971128, 1934413.9407930733, 1832502.9830818833, 1879101.6737825389, 1779463.8229347954, 1988210.8032279767, 2046932.730533681, 1700283.9338580715, 1801816.040425354,
A08, 1977 _1000, 03.24.2023, 0.07482229704451927, 3.984287317620651, 6.7527123082678635, 89.18817807706696, 763918.6333616421, 796970.36034312, 777647.8122616406, 474249.9081752551, 786292.1100875655, 838666.3851505226, 801038.2652023787, 791207.4951258366,
A09, MIX _1000, 03.24.2023, 0.034147174321324913, 4.575721359057538, 5.309885606966024, 90.08024585965511, 1672442.1524102297, 1583625.4125898941, 1632458.2326387134, 1495791.8839114811, 1663593.2521329268, 1709476.4387559784, 1456463.4382345797, 1502018.8878103239,
A10, 1287 _500 US, 03.24.2023, 12.484191508581752, 11.12917795844625, 33.08039747064137, 43.30623306233063, 73986.39238273501, 86029.27789972795, 78111.91487722126, 58819.03027065321, 75199.78135170155, 102561.70260189712, 143452.91085606965, 91762.54077809487,
A11, 1977 _500 US, 03.24.2023, 10.684931506849315, 7.762557077625571, 41.82648401826484, 39.726027397260275, 9275.979979444983, 13150.398446469258, 10605.160037475209, 4581.42913618929, 9756.74723447719, 16883.414779660532, 22737.463120346845, 18806.48379978937,
A12, MIX _500 US, 03.24.2023, 13.264722698684963, 6.117781589479702, 61.120640365923386, 19.49685534591195, 6845.317178437832, 14114.930876200324, 9136.518382790991, 2319.487638974803, 7382.759436249067, 20451.092231448565, 41383.053851465076, 21893.700397152406,
